제조사,비행기모델,ICAO CODE,IATA CODE,비행기구분,비행기크기,CLASS,엔진타입,엔진수,최초운항일,생산수량,단가,상태,조종석수,승객수,길이(m),높이(m),운송범위(km)
AIRBUS,A-340-500,A345,345,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1991-10-25,32,261.8,서비스중,2,313,67.9,17.5,16670
AIRBUS,A-340-600,A346,346,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1991-10-25,97,275.4,서비스중,2,380,75.4,17.9,14450
AIRBUS,A-350-900,A359,359,LandPlane,HIGH,Wide-body airliner,Jet,2,2013-06-14,327,334,서비스중,2,440,66.8,17.1,15000
AIRBUS,A-350-1000,A35K,351,LandPlane,HIGH,Wide-body airliner,Jet,2,2013-06-14,43,366.5,서비스중,2,480,73.8,17.1,16100
AIRBUS,A-380-800,A388,388,LandPlane,HIGH,Wide-body airliner.Double-deck aircraft,Jet,4,2005-04-27,242,445.6,서비스중,2,853,72.7,24.1,14800
AIRBUS,A-A300-600ST,A3ST,ABB,LandPlane,HIGH,Outsize cargofreight aircraft,Jet,2,1994-09-13,5,207.5,서비스중,2,,56.2,17.2,2779
ICON,A-5,A5,,Amphibian,LOW,Amphibiouslight-sport aircraft,Piston,1,2008-07-09,100,0.4,서비스중,1,1,7,2.5,491
COMAC,ARJ21,AJ27,C27,LandPlane,MEDIUM,Regional jet,Jet,2,2008-11-28,40,40,서비스중,2,90,33.5,8.4,2200
ANTONOV,AN-12,AN12,ANF,LandPlane,MEDIUM,Civil and military transport aircraft,Turboprop/Turboshaft,4,1957-12-16,1248,,서비스중,5,60,33.1,10.5,3600
ANTONOV,AN-24,AN24,AN4,LandPlane,MEDIUM,Transport aircraft/TurbopropRegional airliner,Turboprop/Turboshaft,2,1959-10-29,1367,,서비스중,3,50,23.5,8.3,550
ANTONOV,AN-26,AN26,A26,LandPlane,MEDIUM,Transport aircraft,Turboprop/Turboshaft,2,1969-05-21,1403,,서비스중,5,40,23.8,8.6,1100
ANTONOV,AN-28,AN28,A28,LandPlane,LOW,Short-rangeairliner,Turboprop/Turboshaft,2,1969-09-15,191,,서비스중,2,17,13.1,4.9,1000
ANTONOV,AN-30,AN30,A30,LandPlane,MEDIUM,Aerial cartography Aircraftandreconnaissanceandtransport,Turboprop/Turboshaft,2,1967-08-21,123,,서비스중,7,,24.3,8.3,2630
ANTONOV,AN-32,AN32,A32,LandPlane,MEDIUM,Military transport aircraft,Turboprop/Turboshaft,2,1976-07-09,373,15,서비스중,4,50,23.8,8.8,2500
ANTONOV,AN-72 / AN-74,AN72,AN7,LandPlane,MEDIUM,Transport aircraft,Jet,2,1977-08-31,195,,서비스중,5,52,28.1,8.7,4325
AEROPRAKT, A-22 Foxbat / A-22 Valor / A-22 ,AP22,,LandPlane,LOW,Sports Light Aircraft,Piston,1,1996-10-21,,,서비스중,1,1,6.3,2.4,1100
AEROSPATIALE,AS-332B1 Super Puma,AS32,APH,Helicopter,MEDIUM,Mediumutility helicopter,Turboprop/Turboshaft,2,1978-09-13,1000,15.5,서비스중,2,24,16.8,5,851
AEROSPATIALE,AS350 Ecureuil/AS355 Ecureuil 2/AS550 Fennec,AS50,NDE,Helicopter,LOW,Lightutility helicopter,Turboprop/Turboshaft,1,1974-06-27,3590,2.4,서비스중,1,5,10.9,3.1,662
ATR,ATR-42-300,AT43,AT4,LandPlane,MEDIUM,Turboprop Regional airliner,Turboprop/Turboshaft,2,1984-08-16,,,서비스중,2,48,22.7,7.6,459
ATR,ATR-42-500,AT45,AT5,LandPlane,MEDIUM,Turboprop Regional airliner,Turboprop/Turboshaft,2,1995-10-31,,,서비스중,2,48,22.7,7.6,716
